"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"754","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"755","2-Low","4-High","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"756","3-Medium","3-Medium","4-High","3-Medium","4-High","2-Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High"
"757","3-Medium","4-High","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","2-Low","4-High","4-High","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","4-High","2-Low","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","5-Very High"
"758","4-High","5-Very High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium"
"759","5-Very High","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","1-Very Low","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"760","2-Low","2-Low","3-Medium","4-High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","5-Very High","5-Very High","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","5-Very High","2-Low"
"761","4-High","4-High","4-High","4-High","4-High","1-Very Low","2-Low","2-Low","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium"
"762","3-Medium","4-High","5-Very High","3-Medium","3-Medium","5-Very High","2-Low","2-Low","4-High","4-High","3-Medium","4-High","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"763","4-High","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","5-Very High","2-Low","4-High","3-Medium","2-Low","3-Medium","3-Medium"
"764","3-Medium","4-High","2-Low","4-High","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","5-Very High","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium"
"765","4-High","2-Low","3-Medium","5-Very High","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium"
"766","4-High","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"767","4-High","2-Low","2-Low","4-High","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","1-Very Low","5-Very High","4-High","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","3-Medium"
"768","3-Medium","2-Low","2-Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","2-Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","3-Medium"
"769","2-Low","4-High","1-Very Low","4-High","5-Very High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","5-Very High","3-Medium","5-Very High","3-Medium","3-Medium","5-Very High","1-Very Low","2-Low","4-High","1-Very Low","1-Very Low","5-Very High","4-High","2-Low","4-High","4-High","2-Low","2-Low"
"770","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","4-High","3-Medium","4-High","3-Medium","4-High","4-High","5-Very High","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","2-Low","5-Very High"
"771","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","2-Low","4-High","1-Very Low","4-High","2-Low","3-Medium","5-Very High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","4-High","3-Medium"
"772","4-High","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"773","5-Very High","2-Low","2-Low","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","5-Very High","3-Medium","3-Medium","1-Very Low","2-Low","4-High","2-Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","5-Very High"
"774","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","5-Very High","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","2-Low","4-High","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","4-High"
"775","4-High","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","4-High","4-High","3-Medium","2-Low","3-Medium"
"776","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"777","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"778","2-Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","4-High","2-Low","4-High","4-High","3-Medium","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High"
"779","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"780","2-Low","4-High","4-High","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"781","3-Medium","3-Medium","2-Low","4-High","5-Very High","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","4-High","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High"
"782","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","5-Very High"
"783","4-High","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"784","3-Medium","2-Low","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","5-Very High","4-High","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","2-Low"
"785","4-High","3-Medium","5-Very High","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","1-Very Low","4-High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"786","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","4-High","4-High","3-Medium","1-Very Low","2-Low","3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"787","2-Low","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","5-Very High","3-Medium","4-High","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","2-Low","4-High","2-Low","4-High","4-High"
"788","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","2-Low","5-Very High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low"
"789","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","4-High"
"790","4-High","2-Low","5-Very High","2-Low","1-Very Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","2-Low","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","4-High","5-Very High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium"
"791","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","2-Low","5-Very High","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium"
"792","4-High","3-Medium","5-Very High","3-Medium","2-Low","1-Very Low","2-Low","2-Low","3-Medium","4-High","4-High","4-High","4-High","4-High","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","4-High"
"793","5-Very High","1-Very Low","4-High","4-High","1-Very Low","1-Very Low","4-High","1-Very Low","2-Low","2-Low","3-Medium","2-Low","4-High","4-High","4-High","2-Low","1-Very Low","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","5-Very High","3-Medium"
"794","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","4-High","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"795","4-High","4-High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"796","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low","3-Medium","4-High","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium","5-Very High","4-High","2-Low","3-Medium"
"797","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","4-High","4-High","4-High","4-High","1-Very Low","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low"
"798","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","5-Very High","3-Medium","5-Very High","3-Medium","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","3-Medium","3-Medium"
"799","4-High","2-Low","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","1-Very Low","4-High","2-Low","5-Very High","3-Medium","2-Low","3-Medium","4-High","4-High","2-Low","2-Low","5-Very High","4-High","3-Medium","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium"
"800","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High"
"801","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"802","2-Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","4-High","3-Medium","3-Medium"
"803","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","5-Very High","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","4-High"
"804","2-Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","1-Very Low","4-High","5-Very High","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium"
"805","1-Very Low","2-Low","2-Low","4-High","2-Low","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","2-Low","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium"
"806","2-Low","4-High","2-Low","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","5-Very High","4-High","2-Low","4-High","5-Very High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","2-Low"
"807","3-Medium","5-Very High","2-Low","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High"
"808","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","4-High","2-Low","3-Medium","2-Low","2-Low","4-High","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","3-Medium","3-Medium"
"809","2-Low","4-High","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","1-Very Low","2-Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium"
"810","4-High","2-Low","4-High","2-Low","4-High","2-Low","2-Low","1-Very Low","4-High","2-Low","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","4-High","2-Low","1-Very Low","4-High","4-High","4-High","3-Medium","4-High","4-High","4-High","3-Medium","4-High"
"811","4-High","3-Medium","5-Very High","4-High","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High"
"812","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","4-High","2-Low","3-Medium","4-High"
"813","3-Medium","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"814","2-Low","2-Low","4-High","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","2-Low","2-Low","4-High","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low"
"815","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","2-Low"
"816","3-Medium","4-High","4-High","5-Very High","1-Very Low","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","3-Medium"
"817","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","5-Very High","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium"
"818","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","4-High"
"819","2-Low","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"820","4-High","3-Medium","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","2-Low","4-High","4-High","4-High","2-Low","1-Very Low","1-Very Low","4-High","4-High","4-High","2-Low","4-High","4-High","1-Very Low","3-Medium","4-High"
